match_id,date,venue,city,innings,team,team_total_score,overs_played
1339613,13-01-2023,"National Stadium, Karachi",Karachi,1,Pakistan,280,50.3
1339613,13-01-2023,"National Stadium, Karachi",Karachi,2,New Zealand,281,49.5
1339619,27-04-2023,Rawalpindi Cricket Stadium,Rawalpindi,1,New Zealand,288,50.3
1339619,27-04-2023,Rawalpindi Cricket Stadium,Rawalpindi,2,Pakistan,291,49.2
1339620,29-04-2023,Rawalpindi Cricket Stadium,Rawalpindi,1,New Zealand,336,51
1339620,29-04-2023,Rawalpindi Cricket Stadium,Rawalpindi,2,Pakistan,337,49.2
1339621,03-05-2023,"National Stadium, Karachi",Karachi,1,Pakistan,287,51.3
1339621,03-05-2023,"National Stadium, Karachi",Karachi,2,New Zealand,261,49.8
1339622,05-05-2023,"National Stadium, Karachi",Karachi,1,Pakistan,334,51
1339622,05-05-2023,"National Stadium, Karachi",Karachi,2,New Zealand,232,44.7
1339623,07-05-2023,"National Stadium, Karachi",Karachi,1,New Zealand,299,49.7
1339623,07-05-2023,"National Stadium, Karachi",Karachi,2,Pakistan,252,46.7
1340845,04-12-2022,"Shere Bangla National Stadium, Mirpur",Dhaka,1,India,186,42.2
